area,rank,title
Image Captioning,56,AlphaX: eXploring Neural Architectures with Deep Neural Networks and Monte Carlo Tree Search
Image Captioning,57,Say As You Wish: Fine-grained Control of Image Caption Generation with Abstract Scene Graphs
Image Captioning,58,"Show, Adapt and Tell: Adversarial Training of Cross-domain Image Captioner"
Image Captioning,59,Unifying Vision-and-Language Tasks via Text Generation
Image Captioning,60,Learning to Generate Grounded Visual Captions without Localization Supervision
Image Captioning,61,Generation and Comprehension of Unambiguous Object Descriptions
Image Captioning,62,Consensus-Aware Visual-Semantic Embedding for Image-Text Matching
Image Captioning,63,Image Captioning: Transforming Objects into Words
Image Captioning,64,No Metrics Are Perfect: Adversarial Reward Learning for Visual Storytelling
Image Captioning,65,Multimodal Attention for Neural Machine Translation
Image Captioning,66,Does Multimodality Help Human and Machine for Translation and Image Captioning?
Image Captioning,67,Convolutional Image Captioning
Image Captioning,68,MoverScore: Text Generation Evaluating with Contextualized Embeddings and Earth Mover Distance
Image Captioning,69,Conceptual 12M: Pushing Web-Scale Image-Text Pre-Training To Recognize Long-Tail Visual Concepts
Image Captioning,70,Natural Language Object Retrieval
Image Captioning,71,Learning like a Child: Fast Novel Visual Concept Learning from Sentence Descriptions of Images
Image Captioning,72,Deep Captioning with Multimodal Recurrent Neural Networks (m-RNN)
Image Captioning,73,Semantic Object Accuracy for Generative Text-to-Image Synthesis
Image Captioning,74,"Good News, Everyone! Context driven entity-aware captioning for news images"
Image Captioning,75,Discriminability objective for training descriptive captions
Image Captioning,76,Context-aware Captions from Context-agnostic Supervision
Image Captioning,77,Improved Image Captioning via Policy Gradient optimization of SPIDEr
Image Captioning,78,End-to-End Instance Segmentation with Recurrent Attention
Image Captioning,79,Dual-Level Collaborative Transformer for Image Captioning
Image Captioning,80,Regularizing RNNs for Caption Generation by Reconstructing The Past with The Present
Image Captioning,81,CNN Fixations: An unraveling approach to visualize the discriminative image regions
Image Captioning,82,WenLan: Bridging Vision and Language by Large-Scale Multi-Modal Pre-Training
Image Captioning,83,TGIF: A New Dataset and Benchmark on Animated GIF Description
Image Captioning,84,Image Captioning with Deep Bidirectional LSTMs
Image Captioning,85,Graph Optimal Transport for Cross-Domain Alignment
Image Captioning,86,Learning to Evaluate Image Captioning
Image Captioning,87,Towards Diverse and Natural Image Descriptions via a Conditional GAN
Image Captioning,88,Exploring Nearest Neighbor Approaches for Image Captioning
Image Captioning,89,Training for Diversity in Image Paragraph Captioning
Image Captioning,90,"Show, Edit and Tell: A Framework for Editing Image Captions"
Image Captioning,91,Deep Compositional Captioning: Describing Novel Object Categories without Paired Training Data
Image Captioning,92,Semantic Compositional Networks for Visual Captioning
Image Captioning,93,Transform and Tell: Entity-Aware News Image Captioning
Image Captioning,94,nocaps: novel object captioning at scale
Image Captioning,95,Fraternal Dropout
Image Captioning,96,Guided Open Vocabulary Image Captioning with Constrained Beam Search
Image Captioning,97,Accelerated Reinforcement Learning for Sentence Generation by Vocabulary Prediction
Image Captioning,98,VisualGPT: Data-efficient Adaptation of Pretrained Language Models for Image Captioning
Image Captioning,99,Deep Metric Learning Beyond Binary Supervision
Image Captioning,100,Watch What You Just Said: Image Captioning with Text-Conditional Attention
Image Captioning,101,SemStyle: Learning to Generate Stylised Image Captions using Unaligned Text
Image Captioning,102,Comprehensive Image Captioning via Scene Graph Decomposition
Image Captioning,103,Dense Relational Image Captioning via Multi-task Triple-Stream Networks
Image Captioning,104,Connecting Vision and Language with Localized Narratives
Image Captioning,105,Dense Relational Captioning: Triple-Stream Networks for Relationship-Based Captioning
Image Captioning,106,Paying Attention to Descriptions Generated by Image Captioning Models
Image Captioning,107,Speaking the Same Language: Matching Machine to Human Captions by Adversarial Training
Image Captioning,108,Video captioning with recurrent networks based on frame- and video-level features and visual content classification
Image Captioning,109,Aligning Visual Regions and Textual Concepts for Semantic-Grounded Image Representations
Image Captioning,110,Finding beans in burgers: Deep semantic-visual embedding with localization
Image Captioning,111,Connecting What to Say With Where to Look by Modeling Human Attention Traces
Image Captioning,112,More Grounded Image Captioning by Distilling Image-Text Matching Model
Image Captioning,113,Attacking Visual Language Grounding with Adversarial Examples: A Case Study on Neural Image Captioning
Image Captioning,114,Neural Extractive Summarization with Side Information
Image Captioning,115,M3P: Learning Universal Representations via Multitask Multilingual Multimodal Pre-training
Image Captioning,116,Batch-normalized Recurrent Highway Networks
Image Captioning,117,Learning Visually-Grounded Semantics from Contrastive Adversarial Samples
Image Captioning,118,NUBIA: NeUral Based Interchangeability Assessor for Text Generation
Image Captioning,119,Expressing Visual Relationships via Language
Image Captioning,120,Context-Aware Visual Policy Network for Fine-Grained Image Captioning
Image Captioning,121,Context-Aware Visual Policy Network for Sequence-Level Image Captioning
Image Captioning,122,A Hierarchical Approach for Generating Descriptive Image Paragraphs
Image Captioning,123,Multilingual Image Description with Neural Sequence Models
Image Captioning,124,Aligning where to see and what to tell: image caption with region-based attention and scene factorization
Image Captioning,125,Adaptively Aligned Image Captioning via Adaptive Attention Time
Image Captioning,126,Fashion Captioning: Towards Generating Accurate Descriptions with Semantic Rewards
Image Captioning,127,Length-Controllable Image Captioning
Image Captioning,128,Learning to Generate Grounded Visual Captions without Localization Supervision
Image Captioning,129,Analysis of diversity-accuracy tradeoff in image captioning
Image Captioning,130,Hard Non-Monotonic Attention for Character-Level Transduction
Image Captioning,131,RSTNet: Captioning With Adaptive Attention on Visual and Non-Visual Words
Image Captioning,132,"X-LXMERT: Paint, Caption and Answer Questions with Multi-Modal Transformers"
Image Captioning,133,simNet: Stepwise Image-Topic Merging Network for Generating Detailed and Comprehensive Image Captions
Image Captioning,134,Simple is not Easy: A Simple Strong Baseline for TextVQA and TextCaps
Image Captioning,135,"Towers of Babel: Combining Images, Language, and 3D Geometry for Learning Multimodal Vision"
Image Captioning,136,Towards Fairness in Visual Recognition: Effective Strategies for Bias Mitigation
Image Captioning,137,WaveTransformer: A Novel Architecture for Audio Captioning Based on Learning Temporal and Time-Frequency Information
Image Captioning,138,Adapting Grad-CAM for Embedding Networks
Image Captioning,139,Attention-Based Models for Text-Dependent Speaker Verification
Image Captioning,140,Dense-Caption Matching and Frame-Selection Gating for Temporal Localization in VideoQA
Image Captioning,141,Image Captioning through Image Transformer
Image Captioning,142,Improving Reinforcement Learning Based Image Captioning with Natural Language Prior
Image Captioning,143,Evolving Deep Neural Networks
Image Captioning,144,"REO-Relevance, Extraness, Omission: A Fine-grained Evaluation for Image Captioning"
Image Captioning,145,TIGEr: Text-to-Image Grounding for Image Caption Evaluation
Image Captioning,146,Stack-Captioning: Coarse-to-Fine Learning for Image Captioning
Image Captioning,147,An Empirical Study of Language CNN for Image Captioning
Image Captioning,148,Adversarial Inference for Multi-Sentence Video Description
Image Captioning,149,Diverse Image Captioning with Context-Object Split Latent Spaces
Image Captioning,150,Latent Normalizing Flows for Many-to-Many Cross-Domain Mappings
Image Captioning,151,Self-supervised Learning from a Multi-view Perspective
Image Captioning,152,Describing like humans: on diversity in image captioning
Image Captioning,153,Visual News: Benchmark and Challenges in News Image Captioning
Image Captioning,154,Describe What to Change: A Text-guided Unsupervised Image-to-Image Translation Approach
Image Captioning,155,Improving Image Captioning with Better Use of Captions
Image Captioning,156,Fluency-Guided Cross-Lingual Image Captioning
Image Captioning,157,Human-like Controllable Image Captioning with Verb-specific Semantic Roles
Image Captioning,158,Crisscrossed Captions: Extended Intramodal and Intermodal Semantic Similarity Judgments for MS-COCO
Image Captioning,159,A Survey on Biomedical Image Captioning
Image Captioning,160,How Time Matters: Learning Time-Decay Attention for Contextual Spoken Language Understanding in Dialogues
Image Captioning,161,Look and Modify: Modification Networks for Image Captioning
Image Captioning,162,PR Product: A Substitute for Inner Product in Neural Networks
Image Captioning,163,Compositional Generalization in Image Captioning
Image Captioning,164,A Semi-supervised Framework for Image Captioning
Image Captioning,165,Towards Accurate Text-based Image Captioning with Content Diversity Exploration
Image Captioning,166,"Show, Translate and Tell"
Image Captioning,167,Object Hallucination in Image Captioning
Image Captioning,168,Order-Free RNN with Visual Attention for Multi-Label Classification
Image Captioning,169,Bayesian Attention Modules
Image Captioning,170,Quantifying the visual concreteness of words and topics in multimodal datasets
Image Captioning,171,Sequence Modeling with Unconstrained Generation Order
Image Captioning,172,Quality Estimation for Image Captions Based on Large-scale Human Evaluations
Image Captioning,173,Aesthetic Image Captioning From Weakly-Labelled Photographs
Image Captioning,174,Bridging by Word: Image Grounded Vocabulary Construction for Visual Captioning
Image Captioning,175,Towards Interpretable Reinforcement Learning Using Attention Augmented Agents
Image Captioning,176,Deep Visual-Semantic Alignments for Generating Image Descriptions
Image Captioning,177,Semi-Autoregressive Transformer for Image Captioning
Image Captioning,178,Confidence-aware Non-repetitive Multimodal Transformers for TextCaps
Image Captioning,179,RATT: Recurrent Attention to Transient Tasks for Continual Image Captioning
Image Captioning,180,Wasserstein Barycenter Model Ensembling
Image Captioning,181,Generating Diverse and Meaningful Captions
Image Captioning,182,UdL at SemEval-2017 Task 1: Semantic Textual Similarity Estimation of English Sentence Pairs Using Regression Model over Pairwise Features
Image Captioning,183,A Critical Review of Recurrent Neural Networks for Sequence Learning
Image Captioning,184,End-to-End Supermask Pruning: Learning to Prune Image Captioning Models
Image Captioning,185,COBRA: Contrastive Bi-Modal Representation Algorithm
Image Captioning,186,Image Captioning with Sparse Recurrent Neural Network
Image Captioning,187,Surprisingly Easy Hard-Attention for Sequence to Sequence Learning
Image Captioning,188,What is the Role of Recurrent Neural Networks (RNNs) in an Image Caption Generator?
Image Captioning,189,Zero-shot Natural Language Video Localization
Image Captioning,190,Improving Image Captioning with Conditional Generative Adversarial Nets
Image Captioning,191,Mitigating Gender Bias in Captioning Systems
Image Captioning,192,Gated Hierarchical Attention for Image Captioning
Image Captioning,193,A Neural Compositional Paradigm for Image Captioning
Image Captioning,194,Face-Cap: Image Captioning using Facial Expression Analysis
Image Captioning,195,CNN+CNN: Convolutional Decoders for Image Captioning
Image Captioning,196,Beyond Temporal Pooling: Recurrence and Temporal Convolutions for Gesture Recognition in Video
Image Captioning,197,"RelTransformer: Balancing the Visual Relationship Detection from Local Context, Scene and Memory"
Image Captioning,198,EDSL: An Encoder-Decoder Architecture with Symbol-Level Features for Printed Mathematical Expression Recognition
Image Captioning,199,"Egoshots, an ego-vision life-logging dataset and semantic fidelity metric to evaluate diversity in image captioning models"
Image Captioning,200,Categorizing and Inferring the Relationship between the Text and Image of Twitter Posts
Image augmentation,1,AutoAugment: Learning Augmentation Policies from Data
Image augmentation,2,Random Erasing Data Augmentation
Image augmentation,3,Albumentations: fast and flexible image augmentations
Image augmentation,4,Differentiable Data Augmentation with Kornia
Image augmentation,5,A survey on Kornia: an Open Source Differentiable Computer Vision Library for PyTorch
Image augmentation,6,Kornia: an Open Source Differentiable Computer Vision Library for PyTorch
Image augmentation,7,Simple Copy-Paste is a Strong Data Augmentation Method for Instance Segmentation
Image augmentation,8,Learning Data Augmentation Strategies for Object Detection
Image augmentation,9,Improved Regularization of Convolutional Neural Networks with Cutout
Image augmentation,10,Unsupervised Data Augmentation for Consistency Training
Image augmentation,11,Fast AutoAugment
Image augmentation,12,CascadeTabNet: An approach for end to end table detection and structure recognition from image-based documents
Image augmentation,13,Implicit Semantic Data Augmentation for Deep Networks
Image augmentation,14,Population Based Augmentation: Efficient Learning of Augmentation Policy Schedules
Image augmentation,15,Learn to Augment: Joint Data Augmentation and Network Optimization for Text Recognition
Image augmentation,16,Image Augmentation Is All You Need: Regularizing Deep Reinforcement Learning from Pixels
Image augmentation,17,Learning to Compose Domain-Specific Transformations for Data Augmentation
Image augmentation,18,AugNet: End-to-End Unsupervised Visual Representation Learning with Image Augmentation
Image augmentation,19,FSCE: Few-Shot Object Detection via Contrastive Proposal Encoding
Image augmentation,20,What Else Can Fool Deep Learning? Addressing Color Constancy Errors on Deep Neural Network Performance
Image augmentation,21,Augmentor: An Image Augmentation Library for Machine Learning
Image augmentation,22,Anatomical Data Augmentation via Fluid-based Image Registration
Image augmentation,23,Data Augmentation for Scene Text Recognition
Image augmentation,24,Data Augmentation Based Malware Detection using Convolutional Neural Networks
Image augmentation,25,Learning Raw Image Denoising with Bayer Pattern Unification and Bayer Preserving Augmentation
Image augmentation,26,FitVid: Overfitting in Pixel-Level Video Prediction
Image augmentation,27,Parallel Grid Pooling for Data Augmentation
Image augmentation,28,Self-Supervised Pretraining Improves Self-Supervised Pretraining
Image augmentation,29,An Efficient and Scalable Deep Learning Approach for Road Damage Detection
Image augmentation,30,Efficient Method for Categorize Animals in the Wild
Image augmentation,31,ANDA: A Novel Data Augmentation Technique Applied to Salient Object Detection
Image augmentation,32,An Open-source Tool for Hyperspectral Image Augmentation in Tensorflow
Image augmentation,33,DenseNet Models for Tiny ImageNet Classification
Image augmentation,34,Data Augmentation using Random Image Cropping and Patching for Deep CNNs
Image augmentation,35,InAugment: Improving Classifiers via Internal Augmentation
Image augmentation,36,Can AI help in screening Viral and COVID-19 pneumonia?
Image augmentation,37,Improved Mixed-Example Data Augmentation
Image augmentation,38,Adversarial Policy Gradient for Deep Learning Image Augmentation
Image augmentation,39,Adversarial Augmentation for Enhancing Classification of Mammography Images
Image augmentation,40,Multi-Disease Detection in Retinal Imaging based on Ensembling Heterogeneous Deep Learning Models
Image augmentation,41,Visual Question Generation from Radiology Images
Image augmentation,42,Salient Objects in Clutter
Image augmentation,43,Image Augmentation for Multitask Few-Shot Learning: Agricultural Domain Use-Case
Image augmentation,44,Kvasir-Instrument: Diagnostic and therapeutic tool segmentation dataset in gastrointestinal endoscopy
Image augmentation,45,Learning Optimal Data Augmentation Policies via Bayesian Optimization for Image Classification Tasks
Image augmentation,46,Data Augmentation via Levy Processes
Image augmentation,47,Learning Convolutional Neural Networks using Hybrid Orthogonal Projection and Estimation
Image augmentation,48,"Perturb, Predict & Paraphrase: Semi-Supervised Learning using Noisy Student for Image Captioning"
Image augmentation,49,Image Augmentation Using a Task Guided Generative Adversarial Network for Age Estimation on Brain MRI
Image augmentation,50,Few-Shot Learning for Image Classification of Common Flora
Image augmentation,51,A Comparative Study on Efficiencies of Variants of Convolutional Neural Networks based on Image Classification Task
Image augmentation,52,Random Transformation of Image Brightness for Adversarial Attack
Image augmentation,53,Improved Image Augmentation for Convolutional Neural Networks by Copyout and CopyPairing
Image augmentation,54,HCR-Net: A deep learning based script independent handwritten character recognition network
Image augmentation,55,Compound Figure Separation of Biomedical Images with Side Loss
Image augmentation,56,Sparse Signal Models for Data Augmentation in Deep Learning ATR
Image augmentation,57,Application of Facial Recognition using Convolutional Neural Networks for Entry Access Control
Image augmentation,61,A Comparative Study on Efficiencies of Variants of Convolutional Neural Networks based on Image Classification Task
Image augmentation,62,Random Transformation of Image Brightness for Adversarial Attack
Image augmentation,63,Improved Image Augmentation for Convolutional Neural Networks by Copyout and CopyPairing
Image augmentation,64,HCR-Net: A deep learning based script independent handwritten character recognition network
Image augmentation,65,Compound Figure Separation of Biomedical Images with Side Loss
Image augmentation,66,Sparse Signal Models for Data Augmentation in Deep Learning ATR
Image augmentation,67,Application of Facial Recognition using Convolutional Neural Networks for Entry Access Control
Image augmentation,71,A Comparative Study on Efficiencies of Variants of Convolutional Neural Networks based on Image Classification Task
Image augmentation,72,Random Transformation of Image Brightness for Adversarial Attack
Image augmentation,73,Improved Image Augmentation for Convolutional Neural Networks by Copyout and CopyPairing
Image augmentation,74,HCR-Net: A deep learning based script independent handwritten character recognition network
Image augmentation,75,Compound Figure Separation of Biomedical Images with Side Loss
Image augmentation,76,Sparse Signal Models for Data Augmentation in Deep Learning ATR
Image augmentation,77,Application of Facial Recognition using Convolutional Neural Networks for Entry Access Control
Image augmentation,81,A Comparative Study on Efficiencies of Variants of Convolutional Neural Networks based on Image Classification Task
Image augmentation,82,Random Transformation of Image Brightness for Adversarial Attack
Image augmentation,83,Improved Image Augmentation for Convolutional Neural Networks by Copyout and CopyPairing
Image augmentation,84,HCR-Net: A deep learning based script independent handwritten character recognition network
Image augmentation,85,Compound Figure Separation of Biomedical Images with Side Loss
Image augmentation,86,Sparse Signal Models for Data Augmentation in Deep Learning ATR
Image augmentation,87,Application of Facial Recognition using Convolutional Neural Networks for Entry Access Control
Image augmentation,91,A Comparative Study on Efficiencies of Variants of Convolutional Neural Networks based on Image Classification Task
Image augmentation,92,Random Transformation of Image Brightness for Adversarial Attack
Image augmentation,93,Improved Image Augmentation for Convolutional Neural Networks by Copyout and CopyPairing
Image augmentation,94,HCR-Net: A deep learning based script independent handwritten character recognition network
Image augmentation,95,Compound Figure Separation of Biomedical Images with Side Loss
Image augmentation,96,Sparse Signal Models for Data Augmentation in Deep Learning ATR
Image augmentation,97,Application of Facial Recognition using Convolutional Neural Networks for Entry Access Control
Image augmentation,101,A Comparative Study on Efficiencies of Variants of Convolutional Neural Networks based on Image Classification Task
Image augmentation,102,Random Transformation of Image Brightness for Adversarial Attack
Image augmentation,103,Improved Image Augmentation for Convolutional Neural Networks by Copyout and CopyPairing
Image augmentation,104,HCR-Net: A deep learning based script independent handwritten character recognition network
Image augmentation,105,Compound Figure Separation of Biomedical Images with Side Loss
Image augmentation,106,Sparse Signal Models for Data Augmentation in Deep Learning ATR
Image augmentation,107,Application of Facial Recognition using Convolutional Neural Networks for Entry Access Control
Image augmentation,111,A Comparative Study on Efficiencies of Variants of Convolutional Neural Networks based on Image Classification Task
Image augmentation,112,Random Transformation of Image Brightness for Adversarial Attack
Image augmentation,113,Improved Image Augmentation for Convolutional Neural Networks by Copyout and CopyPairing
Image augmentation,114,HCR-Net: A deep learning based script independent handwritten character recognition network
Image augmentation,115,Compound Figure Separation of Biomedical Images with Side Loss
Image augmentation,116,Sparse Signal Models for Data Augmentation in Deep Learning ATR
Image augmentation,117,Application of Facial Recognition using Convolutional Neural Networks for Entry Access Control
Image augmentation,121,A Comparative Study on Efficiencies of Variants of Convolutional Neural Networks based on Image Classification Task
Image augmentation,122,Random Transformation of Image Brightness for Adversarial Attack
Image augmentation,123,Improved Image Augmentation for Convolutional Neural Networks by Copyout and CopyPairing
Image augmentation,124,HCR-Net: A deep learning based script independent handwritten character recognition network
Image augmentation,125,Compound Figure Separation of Biomedical Images with Side Loss
Image augmentation,126,Sparse Signal Models for Data Augmentation in Deep Learning ATR
Image augmentation,127,Application of Facial Recognition using Convolutional Neural Networks for Entry Access Control
Image augmentation,131,A Comparative Study on Efficiencies of Variants of Convolutional Neural Networks based on Image Classification Task
Image augmentation,132,Random Transformation of Image Brightness for Adversarial Attack
Image augmentation,133,Improved Image Augmentation for Convolutional Neural Networks by Copyout and CopyPairing
Image augmentation,134,HCR-Net: A deep learning based script independent handwritten character recognition network
Image augmentation,135,Compound Figure Separation of Biomedical Images with Side Loss
Image augmentation,136,Sparse Signal Models for Data Augmentation in Deep Learning ATR
Image augmentation,137,Application of Facial Recognition using Convolutional Neural Networks for Entry Access Control
Image augmentation,141,A Comparative Study on Efficiencies of Variants of Convolutional Neural Networks based on Image Classification Task
Image augmentation,142,Random Transformation of Image Brightness for Adversarial Attack
Image augmentation,143,Improved Image Augmentation for Convolutional Neural Networks by Copyout and CopyPairing
Image augmentation,144,HCR-Net: A deep learning based script independent handwritten character recognition network
Image augmentation,145,Compound Figure Separation of Biomedical Images with Side Loss
Image augmentation,146,Sparse Signal Models for Data Augmentation in Deep Learning ATR
Image augmentation,147,Application of Facial Recognition using Convolutional Neural Networks for Entry Access Control
Image augmentation,151,A Comparative Study on Efficiencies of Variants of Convolutional Neural Networks based on Image Classification Task
Image augmentation,152,Random Transformation of Image Brightness for Adversarial Attack
Image augmentation,153,Improved Image Augmentation for Convolutional Neural Networks by Copyout and CopyPairing
Image augmentation,154,HCR-Net: A deep learning based script independent handwritten character recognition network
Image augmentation,155,Compound Figure Separation of Biomedical Images with Side Loss
Image augmentation,156,Sparse Signal Models for Data Augmentation in Deep Learning ATR
Image augmentation,157,Application of Facial Recognition using Convolutional Neural Networks for Entry Access Control
Image augmentation,161,A Comparative Study on Efficiencies of Variants of Convolutional Neural Networks based on Image Classification Task
Image augmentation,162,Random Transformation of Image Brightness for Adversarial Attack
Image augmentation,163,Improved Image Augmentation for Convolutional Neural Networks by Copyout and CopyPairing
Image augmentation,164,HCR-Net: A deep learning based script independent handwritten character recognition network
Image augmentation,165,Compound Figure Separation of Biomedical Images with Side Loss
Image augmentation,166,Sparse Signal Models for Data Augmentation in Deep Learning ATR
Image augmentation,167,Application of Facial Recognition using Convolutional Neural Networks for Entry Access Control
Image augmentation,171,A Comparative Study on Efficiencies of Variants of Convolutional Neural Networks based on Image Classification Task
Image augmentation,172,Random Transformation of Image Brightness for Adversarial Attack
Image augmentation,173,Improved Image Augmentation for Convolutional Neural Networks by Copyout and CopyPairing
Image augmentation,174,HCR-Net: A deep learning based script independent handwritten character recognition network
Image augmentation,175,Compound Figure Separation of Biomedical Images with Side Loss
Image augmentation,176,Sparse Signal Models for Data Augmentation in Deep Learning ATR
Image augmentation,177,Application of Facial Recognition using Convolutional Neural Networks for Entry Access Control
Image augmentation,181,A Comparative Study on Efficiencies of Variants of Convolutional Neural Networks based on Image Classification Task
Image augmentation,182,Random Transformation of Image Brightness for Adversarial Attack
Image augmentation,183,Improved Image Augmentation for Convolutional Neural Networks by Copyout and CopyPairing
Image augmentation,184,HCR-Net: A deep learning based script independent handwritten character recognition network
Image augmentation,185,Compound Figure Separation of Biomedical Images with Side Loss
Image augmentation,186,Sparse Signal Models for Data Augmentation in Deep Learning ATR
Image augmentation,187,Application of Facial Recognition using Convolutional Neural Networks for Entry Access Control
Image augmentation,191,A Comparative Study on Efficiencies of Variants of Convolutional Neural Networks based on Image Classification Task
Image augmentation,192,Random Transformation of Image Brightness for Adversarial Attack
Image augmentation,193,Improved Image Augmentation for Convolutional Neural Networks by Copyout and CopyPairing
Image augmentation,194,HCR-Net: A deep learning based script independent handwritten character recognition network
Image augmentation,195,Compound Figure Separation of Biomedical Images with Side Loss
Image augmentation,196,Sparse Signal Models for Data Augmentation in Deep Learning ATR
Image augmentation,197,Application of Facial Recognition using Convolutional Neural Networks for Entry Access Control
Pose estimation,1,Mask R-CNN
Pose estimation,2,Discovery of Latent 3D Keypoints via End-to-end Geometric Reasoning
Pose estimation,3,DensePose: Dense Human Pose Estimation In The Wild
Pose estimation,4,Non-local Neural Networks
Pose estimation,5,OpenPose: Realtime Multi-Person 2D Pose Estimation using Part Affinity Fields
Pose estimation,6,Realtime Multi-Person 2D Pose Estimation using Part Affinity Fields
Pose estimation,7,Convolutional Pose Machines
Pose estimation,8,GHUM & GHUML: Generative 3D Human Shape and Articulated Pose Models
Pose estimation,9,Implicit-PDF: Non-Parametric Representation of Probability Distributions on the Rotation Manifold
Pose estimation,10,"View-Invariant, Occlusion-Robust Probabilistic Embedding for Human Pose"
Pose estimation,11,KeyPose: Multi-View 3D Labeling and Keypoint Estimation for Transparent Objects
Pose estimation,12,An Analysis of SVD for Deep Rotation Estimation
Pose estimation,13,Deep High-Resolution Representation Learning for Visual Recognition
Pose estimation,14,XNect: Real-time Multi-Person 3D Motion Capture with a Single RGB Camera
Pose estimation,15,RMPE: Regional Multi-person Pose Estimation
Pose estimation,16,Lite-HRNet: A Lightweight High-Resolution Network
Pose estimation,17,Distribution-Aware Coordinate Representation for Human Pose Estimation
Pose estimation,18,HigherHRNet: Scale-Aware Representation Learning for Bottom-Up Human Pose Estimation
Pose estimation,19,High-Resolution Representations for Labeling Pixels and Regions
Pose estimation,20,Deep High-Resolution Representation Learning for Human Pose Estimation
Pose estimation,21,Simple Baselines for Human Pose Estimation and Tracking
Pose estimation,22,2D Human Pose Estimation: New Benchmark and State of the Art Analysis
Pose estimation,23,"Relocalization, Global Optimization and Map Merging for Monocular Visual-Inertial SLAM"
Pose estimation,24,Face Alignment in Full Pose Range: A 3D Total Solution
Pose estimation,25,Revisiting Unreasonable Effectiveness of Data in Deep Learning Era
Pose estimation,26,3D human pose estimation in video with temporal convolutions and semi-supervised training
Pose estimation,27,ImageNet performance correlates with pose estimation robustness and generalization on out-of-domain data
Pose estimation,28,Deep learning tools for the measurement of animal behavior in neuroscience
Pose estimation,29,Pretraining boosts out-of-domain robustness for pose estimation
Pose estimation,30,"DeeperCut: A Deeper, Stronger, and Faster Multi-Person Pose Estimation Model"
Pose estimation,31,FCPose: Fully Convolutional Multi-Person Pose Estimation with Dynamic Instance-Aware Convolutions
Pose estimation,32,DirectPose: Direct End-to-End Multi-Person Pose Estimation
Pose estimation,33,Simple Pose: Rethinking and Improving a Bottom-up Approach for Multi-Person Pose Estimation
Pose estimation,34,Real-time 2D Multi-Person Pose Estimation on CPU: Lightweight OpenPose
Pose estimation,35,VIBE: Video Inference for Human Body Pose and Shape Estimation
Pose estimation,36,A General Optimization-based Framework for Global Pose Estimation with Multiple Sensors
Pose estimation,37,Unsupervised Learning of Depth and Ego-Motion from Video
Pose estimation,38,"DeepFashion2: A Versatile Benchmark for Detection, Pose Estimation, Segmentation and Re-Identification of Clothing Images"
Pose estimation,39,A Multiresolution 3D Morphable Face Model and Fitting Framework
Pose estimation,40,Polarized Self-Attention: Towards High-quality Pixel-wise Regression
Pose estimation,41,SuperGlue: Learning Feature Matching with Graph Neural Networks
Pose estimation,42,LeGO-LOAM: Lightweight and Ground-Optimized Lidar Odometry and Mapping on Variable Terrain
Pose estimation,43,Revisiting Skeleton-based Action Recognition
Pose estimation,44,FrankMocap: A Monocular 3D Whole-Body Pose Estimation System via Regression and Integration
Pose estimation,45,AP-10K: A Benchmark for Animal Pose Estimation in the Wild
Pose estimation,46,ViPNAS: Efficient Video Pose Estimation via Neural Architecture Search
Pose estimation,47,InterHand2.6M: A Dataset and Baseline for 3D Interacting Hand Pose Estimation from a Single RGB Image
Pose estimation,48,AID: Pushing the Performance Boundary of Human Pose Estimation with Information Dropping Augmentation
Pose estimation,49,Whole-Body Human Pose Estimation in the Wild
Pose estimation,50,Learning Delicate Local Representations for Multi-Person Pose Estimation
Pose estimation,51,The Devil is in the Details: Delving into Unbiased Data Processing for Human Pose Estimation
Pose estimation,52,Rethinking on Multi-Stage Networks for Human Pose Estimation
Pose estimation,53,CrowdPose: Efficient Crowded Scenes Pose Estimation and A New Benchmark
Pose estimation,54,Pose2Seg: Detection Free Human Instance Segmentation
Pose estimation,55,PoseTrack: A Benchmark for Human Pose Estimation and Tracking
Pose estimation,56,A simple yet effective baseline for 3d human pose estimation
Pose estimation,57,Learning to Estimate 3D Hand Pose from Single RGB Images
Pose estimation,58,Associative Embedding: End-to-End Learning for Joint Detection and Grouping
Pose estimation,59,Stacked Hourglass Networks for Human Pose Estimation
Pose estimation,60,DeepPose: Human Pose Estimation via Deep Neural Networks
Pose estimation,61,Human3.6m: Large scale datasets and predictive methods for 3D human sensing in natural environments
Pose estimation,62,Fine-Grained Head Pose Estimation Without Keypoints
Pose estimation,63,Fast and Flexible Human Pose Estimation with HyperPose
Pose estimation,64,ArtTrack: Articulated Multi-person Tracking in the Wild
Pose estimation,65,Detect-and-Track: Efficient Pose Estimation in Videos
Pose estimation,66,Global Context for Convolutional Pose Machines
Pose estimation,67,BOP Challenge 2020 on 6D Object Localization
Pose estimation,68,BlenderProc
Pose estimation,69,Learnable Triangulation of Human Pose
Pose estimation,70,OpenPifPaf: Composite Fields for Semantic Keypoint Detection and Spatio-Temporal Association
Pose estimation,71,Graduated Non-Convexity for Robust Spatial Perception: From Non-Minimal Solvers to Global Outlier Rejection
Pose estimation,72,DenseFusion: 6D Object Pose Estimation by Iterative Dense Fusion
Pose estimation,73,Reconstructing 3D Human Pose by Watching Humans in the Mirror
Pose estimation,74,Motion Capture from Internet Videos
Pose estimation,75,Fast and Robust Multi-Person 3D Pose Estimation from Multiple Views
Pose estimation,76,Cascaded Pyramid Network for Multi-Person Pose Estimation
